"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"a1eh","眷村味湘記麵館","台式","4.5","(1000+)","taichung"
"i0dq","蘇媽媽湯圓 (台中模範店)","台式","4.7","(1000+)","taichung"
"w6u4","dé day茶日","飲料","4.7","(100+)","taichung"
"z8rj","金禾食堂","日式","4.1","(81)","taichung"
"y7id","滷菩提蔬食(向上店)","素食","4.8","(4000+)","taichung"
"ydam","山裏山外 (精誠店)","甜點","4.9","(100+)","taichung"
"e8gu","二姑姑的店","甜點","4.9","(500+)","taichung"
"wrni","酥小潼肉夾饃","中式","4.7","(100+)","taichung"
"wg27","荳神綠豆沙 (台中向上店)","飲料","4.8","(100+)","taichung"
"gdlb","好客食堂","台式","4.8","(100+)","taichung"
"evsn","健行越南法國麵包","東南亞","5","(4)","taichung"
"zuef","蒔光&PokeBowl","健康餐","4.3","(35)","taichung"
"a2sg","吳記排骨酥&地瓜球","小吃","4.7","(100+)","taichung"
"qec4","日蝕美村店","飲料","4.7","(59)","taichung"
"p1tw","廣緣素食","素食","4.9","(1000+)","taichung"
"a8sw","三個寶養生麻油雞飯","台式","4.7","(2000+)","taichung"
"t3fs","發發 美村牧場","飲料","4.9","(24)","taichung"
"d2ls","輕輕 kinkin 健康餐盒","健康餐","4.8","(3000+)","taichung"
"sok7","中美街糖炒栗子","小吃","3.2","(5)","taichung"
"y1sq","台中洪師傅川味麵食館","台式","4.9","(100+)","taichung"
"sh57","太空船包子饅頭","小吃","4.9","(100+)","taichung"
"gwf0","豪品鐵板燒 (台中健行店)","台式","4.8","(100+)","taichung"
"fyxa","杏芳家","歐美","5","(9)","taichung"
"fy5c","英才黑輪攤","小吃","4.6","(500+)","taichung"
"s7jl","向上市場川寶甘蔗汁三十年老店","飲料","5","(5)","taichung"
"r5cg","好口味湯包 (台中精誠店)","中式","4.7","(1000+)","taichung"
"fhtm","芋仙圓","甜點","5","(2)","taichung"
"hhkr","二姐粉漿蛋餅","早餐","4.9","(16)","taichung"
"f1aj","王董牛肉麵","台式","4.6","(100+)","taichung"
"y0vt","老夫子牛排館 (台中精誠店)","台式","4.8","(1000+)","taichung"
"vfuw","波漾水果珍珠專賣店 精誠總店","飲料","4.8","(100+)","taichung"
"k5yo","鄧家巨無霸潤餅x炒飯","台式","4.7","(500+)","taichung"
"femk","諾米亞鐵板燒","台式","4.9","(100+)","taichung"
"brt7","稻稼祖傳韭菜盒子．傳統炸物 (向上創始店)","小吃","4.9","(91)","taichung"
"l9ep","泰香泰式奶茶","飲料","4.8","(100+)","taichung"
"y95q","品麵包 (台中向上店)","甜點","4.8","(500+)","taichung"
"j9ao","芋園家甜品屋","甜點","4.6","(500+)","taichung"
"ont6","匠人水餃工坊 (台中青海店) x 四海遊龍集團","台式","4.5","(64)","taichung"
"en3d","早皇后早午餐","早餐","5","(18)","taichung"
"x8uv","老阿太餐館","台式","4.5","(2000+)","taichung"
"x4zj","老牌珠麵店","台式","4.7","(4000+)","taichung"
"zwiq","老豆府麻辣火鍋＆白玉養生鍋","中式","4.8","(17)","taichung"
"sdbe","上上水餃 (台中總店)","台式","4.7","(1000+)","taichung"
"wrpg","一月初 良心健康餐盒販賣所 (台中西屯店)","健康餐","4.9","(100+)","taichung"
"y4pe","豆守綠豆沙專門店","飲料","4.8","(500+)","taichung"
"k6au","牛二哥麵攤","台式","4.7","(100+)","taichung"
"a5ud","舒粒珍飲攤","飲料","4.9","(1000+)","taichung"
"c2ao","小澄市 (台中精誠旗艦店)","飲料","4.9","(500+)","taichung"
"ir7s","G Colour 金色魔法紅茶 (台中漢口店)","飲料","4.8","(53)","taichung"
"y2gp","酒石拉麵 (台中民權店)","日式","4.8","(1000+)","taichung"
"kx90","炒麵炒麵","台式","4.9","(50)","taichung"
"dfui","職人麵工坊 (台中青海店) x 四海遊龍集團","台式","4.4","(76)","taichung"
"mu18","籽田｜法式甜點．烘焙．喫茶．咖啡","歐美","4.4","(13)","taichung"
"sc5v","甲哩欸碗粿","小吃","4.3","(100+)","taichung"
"mc1f","打鐵豆花 (台中精誠店)","甜點","4.9","(79)","taichung"
"y1li","翔美雪花冰 (台中英士店)","台式","4.9","(500+)","taichung"
"usax","果匯工坊 現切水果","甜點","5","(67)","taichung"
"y2lg","廣日炒麵爌肉飯","台式","4.6","(2000+)","taichung"
"nc3u","頂呱呱TKK (台中漢口店)","歐美","4.7","(500+)","taichung"
"b3ng","豪記鹿港肉包舖","小吃","4.8","(100+)","taichung"
"zp3r","宏佳火雞肉飯 (台中向上店)","台式","4.6","(2000+)","taichung"
"tn5b","廣真香炒麵爌肉飯","台式","4.6","(100+)","taichung"
"mccs","午食武士","素食","4.9","(75)","taichung"
"fxni","樂台羽茶 (西屯青海店)","飲料","4.9","(100+)","taichung"
"iv34","摩奇安娜早午餐咖啡館","台式","4.6","(500+)","taichung"
"z9xt","祖傳爌肉飯","台式","4.5","(5000+)","taichung"
"vp6n","煙燻甘蔗甕仔雞","台式","3.7","(100+)","taichung"
"pr81","小次男咖哩所 (審計店)","日式","4.6","(100+)","taichung"
"b9ju","老賴茶棧 (台中青海店)","飲料","4.8","(1000+)","taichung"
"ggpr","青海牛肉麵","台式","4.8","(100+)","taichung"
"lrgb","Mixigan美墨創意蔬食料理 (台中店)","素食","5","(17)","taichung"
"y6nr","布黎斯早午餐","早餐","4.7","(500+)","taichung"
"f2bb","祖傳天然茶飲 (西屯總店)","飲料","4.5","(100+)","taichung"
"z8cc","大胖肉羹 (台中青海店)","台式","4.8","(4000+)","taichung"
"z8ab","四季鹽館蔬食廚房","素食","4.9","(1000+)","taichung"
"o1as","蒜蒜鍋","台式","4.2","(500+)","taichung"
"g91e","宏福手工現擀水煎包","小吃","4.7","(100+)","taichung"
"ya7d","川婆婆川味料理","中式","3.4","(48)","taichung"
"i5dx","連豐盈養生甜品","甜點","4.6","(500+)","taichung"
"y3gn","哈里歐蔬食咖啡館","素食","4.6","(100+)","taichung"
"wpxl","華美越南美食","東南亞","4.7","(68)","taichung"
"besa","Enrich restaurant & cafe’","素食","4.6","(6)","taichung"
"a1rk","三口飯糰","日式","4.2","(500+)","taichung"
"nzmv","哥寶哈妮 (台中忠明店)","台式","4.7","(500+)","taichung"
"wsui","來個鍋","台式","4.6","(67)","taichung"
"ufep","玉膳堂牛肉麵","台式","4.7","(100+)","taichung"
"ecjo","精誠平價牛排","台式","5","(30)","taichung"
"dahg","妍品茶 (台中審計店)","飲料","4.8","(100+)","taichung"
"b81z","Eat's 低脂健康餐","健康餐","4.1","(100+)","taichung"
"rnej","八方餃子館","台式","4.6","(100+)","taichung"
"y0qg","YOURDAY悠家 鮮果特調茶飲專賣(台中大業店)","甜點","4.7","(1000+)","taichung"
"ictn","卡將食堂","日式","4","(100+)","taichung"
"lzd5","金甘丹手工麵線","小吃","4.8","(4)","taichung"
"f87d","鼎盛豬腳","台式","4.5","(100+)","taichung"
"kzbt","原鼎鍋燒","台式","4.5","(46)","taichung"
"uzkq","弄米手作飯捲 (台中梅川店)","台式","4.8","(500+)","taichung"
"hugm","NINI尼尼義大利餐廳 (台中公益店)","歐美","4.1","(33)","taichung"
"m3nx","吳興蚵仔大腸麵線","小吃","4.8","(100+)","taichung"
"h9su","Mowan 港式 串烤雞蛋仔 (大墩店)","甜點","4.9","(100+)","taichung"
"yl53","龍來婷","台式","4.4","(100+)","taichung"
"nbny","嘉義香菇肉羹 東興路三十年老店","台式","4.7","(100+)","taichung"
"b5yf","琦玉蛋沙拉 (台中漢口店)","小吃","4.9","(1000+)","taichung"
"rvsv","吉日起 油飯 煲湯 手路菜","台式","4.8","(72)","taichung"
"df0e","阿葉小吃","台式","4.6","(100+)","taichung"
"k5ll","歐趴 三角飯糰","台式","4.6","(100+)","taichung"
"y6pn","童遊鬆餅輕食趣 (台中西屯店)","甜點","4.6","(100+)","taichung"
"a6fr","詹家紅茶冰 (台中東興店)","飲料","2.3","(100+)","taichung"
"ju1b","熊厚雞排 (台中大墩總店)","小吃","4.6","(70)","taichung"
"t8fh","姐妹古早味炒飯炒麵粥品","台式","4.6","(500+)","taichung"
"y6os","福牛鉄板牛排 (台中美村店)","台式","4.8","(5000+)","taichung"
"zj3q","饗喫港式燒臘","港式","4.8","(500+)","taichung"
"b7tv","玉香珍肉圓","台式","4.8","(3000+)","taichung"
"y0gc","依禮鮮蔬手工披薩","素食","4.8","(100+)","taichung"
"v3ex","若水茶軒","台式","4.8","(3000+)","taichung"
"m0dv","春品牛肉麵","台式","4.2","(100+)","taichung"
"p2cz","料鐵哥醬燒鐵板燒 (台中漢口店)","台式","4.4","(100+)","taichung"
"ae2t","禾畔小賣所","日式","4.7","(65)","taichung"
"ozub","南方魏排骨飯","台式","5","(1)","taichung"
"p2t1","樂法 (台中漢口店)","飲料","5","(100+)","taichung"
"dkzq","鍋餡餅","小吃","4.8","(100+)","taichung"
"x9ik","二五八灶咖","台式","4.3","(100+)","taichung"
"iuxs","Vesta薇絲妲餐館(西屯大隆店)","日式","4.3","(9)","taichung"
"rukp","鱻味 蝦仁飯 魚丸湯","台式","4.8","(100+)","taichung"
"o7is","真饌軒綠豆湯 (台中青海店)","甜點","4.8","(1000+)","taichung"
"smhb","糖潮 (大墩店)","飲料","4.8","(100+)","taichung"
"rtoc","日月欣冰品店","甜點","4.7","(46)","taichung"
"wzcc","九本家 日式丼飯 拉麵 咖哩","日式","4.6","(100+)","taichung"
"bld4","多喜红茶冰","飲料","5","(3)","taichung"
"as1t","木昂手作 (西區東興店)","飲料","4.3","(96)","taichung"
"o4qv","王記水煎包蔬食","小吃","5","(97)","taichung"
"r7wa","重拾手搖茶","飲料","4.8","(100+)","taichung"
"csq1","大貓奶茶","甜點","4.6","(51)","taichung"
"e5cc","一条古早味蛋糕","甜點","4.7","(500+)","taichung"
"cx4i","虎呷蛋炸蛋蔥油餅","小吃","4.8","(100+)","taichung"
"y2kd","滷菩提蔬食(大德店)","素食","4.9","(3000+)","taichung"
"w2mc","九龍廣東粥 (台中西屯店)","港式","4.8","(4000+)","taichung"
"y9sr","豐富張家蔥餡餅","小吃","4.8","(1000+)","taichung"
"t6xo","御燒池上手作便當","台式","4.5","(1000+)","taichung"
"z4te","修心茶堂","飲料","4.7","(100+)","taichung"
"p2gm","張家台南無刺虱目魚粥","台式","4.6","(1000+)","taichung"
"qzr7","椒點川味道","中式","3.1","(13)","taichung"
"iy3x","好吃雞蛋糕","甜點","4.8","(100+)","taichung"
"p6b3","大碗滿意","台式","4.7","(100+)","taichung"
"k5xe","渼饗早午餐","早餐","4.9","(1000+)","taichung"
"h1ft","白浪春禾 (台中大墩店)","飲料","5","(100+)","taichung"
"w6ba","南國紅豆","甜點","4.8","(1000+)","taichung"
"qyc9","糊塗麵 (台中大墩店)","台式","4.6","(100+)","taichung"
"y5vr","203丼飯.咖哩飯","日式","4.8","(100+)","taichung"
"odao","鬍鬚張魯肉飯 (台中大墩店)","台式","4.6","(2000+)","taichung"
"fdcd","悠沐手作豆花","甜點","4.1","(47)","taichung"
"j7xk","上佳原汁牛肉麵","台式","4.6","(2000+)","taichung"
"bo5c","達澤鍋燒麵","台式","4.6","(61)","taichung"
"m3mo","湯鍋會24H (台中漢口店)","台式","4.8","(5000+)","taichung"
"ft00","PG tea鴿子茶飲 (台中大墩店)","飲料","4.9","(500+)","taichung"
"u9oe","纖暖一下 x 咖哩 湯咖哩 湯飯專賣 x 初米好食 (台中西屯店)","日式","4.6","(100+)","taichung"
"h4ew","炸物致上 (台中大墩店)","小吃","2.9","(2)","taichung"
"r2uu","好粥稻 (台中五常店)","台式","4.6","(2000+)","taichung"
"o6x5","炙燒牛排館","台式","2.6","(47)","taichung"
"v5xb","最近純粹茶飲 (台中漢口店)","飲料","4.7","(100+)","taichung"
"a7nk","滕茶舖","飲料","4.9","(72)","taichung"
"wu89","姜家古早味冷飲","飲料","4.9","(100+)","taichung"
"s4ay","斐得蔬食","素食","4.4","(100+)","taichung"
"xlb6","巴豆輕食沙拉","健康餐","5","(1)","taichung"
"cilb","暮雪時·雪花冰·冬季·燒仙草","甜點","4.8","(73)","taichung"
"czus","懷特廚房素食料理","素食","4.7","(51)","taichung"
"dsdh","渴覓咖啡","甜點","4.9","(1000+)","taichung"
"b74r","烘best韓式飯捲餐盒肉桂捲","韓式","4.6","(83)","taichung"
"c5wx","初米好食 x (小隻、無米餐盒) (台中西屯店)","健康餐","4.7","(500+)","taichung"
"ypxh","禧鍋燒鍋燒意麵專賣店 (台中大墩店)","台式","2.8","(14)","taichung"
"z3ns","晨田早午餐店","早餐","4.8","(1000+)","taichung"
"qxmd","享匙鍋燒麵食所","台式","4.8","(61)","taichung"
"w0jr","狀元仙草舖 (台中南屯店)","甜點","4.8","(3000+)","taichung"
"pz5g","BubbleZ阿偉飲品 (中區中華店)","飲料","4.8","(51)","taichung"
"ypdc","萊稻家健康餐盒專賣 (中華店)","健康餐","4.8","(3000+)","taichung"
"x0hp","21點港式點心","港式","4.5","(500+)","taichung"
"jc82","彩碗colorbowl poke (台中五義店)","健康餐","4.8","(100+)","taichung"
"yv97","雞毛屋早午餐","早餐","4.9","(500+)","taichung"
"nb4z","莉花印尼道地私房菜","東南亞","4.6","(100+)","taichung"
"z3rn","波波莉娜","日式","4","(100+)","taichung"
"sx1d","金記麵點 (向上南路店)","台式","4.7","(500+)","taichung"
"vgrz","凱麥拉蔬食滷味","素食","4.9","(24)","taichung"
"z6vq","西門町大腸麵線●台中肉圓","小吃","4.7","(100+)","taichung"
"lhks","精緻蔬食鐵板麵小火鍋","素食","3","(14)","taichung"
"xa8e","狩鍋 (漢口店)","台式","4.6","(89)","taichung"
"ield","韓館創意蔬食","韓式","5","(1)","taichung"
"iptk","巷口蔬食關東煮","素食","3.8","(8)","taichung"
"nmxy","KOOBESTAR酷覓咖啡","咖啡","5","(10)","taichung"
"k5up","莀蔬蔬食餐館","素食","4.8","(100+)","taichung"
"e8ot","阿爸的咖哩飯","日式","4.9","(1000+)","taichung"
"bzt4","燒燙燙川味蔬食麻辣燙","素食","4.9","(13)","taichung"
"hn88","麵家二眷 (台中店)","台式","4.3","(58)","taichung"
"e4xb","元春鐵板燒 (台中中華店)","台式","4.7","(1000+)","taichung"
"fnno","品心港式飲茶 (台中公益店)","港式","4.9","(67)","taichung"
"e0cm","兩半茶","飲料","4.9","(100+)","taichung"
"z9rx","古早味豬腸冬粉","台式","4.3","(100+)","taichung"
"hwqr","菁鼎選池上台式傳統便當 (台中中華店)","台式","4.5","(500+)","taichung"
"m4d7","鵲喜沾麵專門店","日式","5","(1)","taichung"
"qmjs","Pho 系廚娘河粉 (台中林森店)","東南亞","4.7","(26)","taichung"
"anbi","Subway (中清天津店)","歐美","4.7","(1000+)","taichung"
"krbg","湯尼菓子森林","甜點","4.3","(81)","taichung"
"w7lb","龍涎居雞膳食坊 (台中學士店)","台式","4.7","(2000+)","taichung"
