"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"g3xp","荳荳早午餐","早餐","4.9","(1000+)","new-taipei-city"
"sku7","50嵐 (新莊新泰店)","飲料","4.8","(100+)","new-taipei-city"
"y2jt","悅勝日式料理 (新北新莊店)","日式","4.8","(1000+)","new-taipei-city"
"cqj5","老牌子麵食館 (新莊民安店)","台式","5","(1)","new-taipei-city"
"r2yj","佳品早餐屋","早餐","4.8","(500+)","new-taipei-city"
"t9oc","牧夏飲品專賣店","飲料","4.9","(100+)","new-taipei-city"
"urhc","林記 低GI熱拌麵 涼麵坊","台式","4.9","(76)","new-taipei-city"
"oi0q","浮誇冰品不正規熱品 (冰品、豆花、湯圓、牛奶冰、日式、台式、美式、韓式、高蛋白、增肌減脂、蒟蒻、椰果、珍珠、芒果、紅豆湯、綠豆湯、雪花冰)","甜點","4.9","(500+)","new-taipei-city"
"u6ko","第一湯包","台式","4.8","(4000+)","new-taipei-city"
"b2tu","帥哥·辣麵","台式","4.8","(1000+)","new-taipei-city"
"u5oy","啵蛋早午餐","早餐","4.8","(100+)","new-taipei-city"
"t2zm","林記廣東腸粉","港式","4.8","(100+)","new-taipei-city"
"z7pp","福哥意麵","台式","4.8","(2000+)","new-taipei-city"
"a3xq","歡璽早午餐","早餐","4.8","(4000+)","new-taipei-city"
"o7fx","左想右想","早餐","4.8","(1000+)","new-taipei-city"
"x10q","象泰泰手工泰式奶茶 (新莊富國店)","飲料","4.9","(500+)","new-taipei-city"
"di3o","果霸茶 (新莊富國店)","飲料","4.6","(100+)","new-taipei-city"
"d8fs","饗聚","早餐","4.9","(2000+)","new-taipei-city"
"de42","炒出名堂 (新莊中平店)","台式","4.6","(100+)","new-taipei-city"
"o5jj","食在幸福-邱記 涼麵 廣東粥 海鮮 湯麵 小菜(新莊民本店)","台式","4.6","(100+)","new-taipei-city"
"oa9q","大家來找茶","飲料","4.9","(21)","new-taipei-city"
"icnk","嘻林頑童","歐美","4.8","(100+)","new-taipei-city"
"hf72","八茗茶","飲料","5","(2)","new-taipei-city"
"lyd5","餅的工坊手工蔥抓餅","小吃","5","(23)","new-taipei-city"
"a41a","嗨飯食堂","台式","4.8","(100+)","new-taipei-city"
"q9qo","曼杜瓦餐廳 (新北新莊店)","歐美","2.7","(23)","new-taipei-city"
"evo0","吉米香飯糰","台式","4.8","(100+)","new-taipei-city"
