"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"w44j","駱姐正雞酒 (誠品松菸店)","台式","4.4","(100+)","taipei-city"
"pc9x","馬克與鐵鍋 (台北小巨蛋店)","健康餐","4.7","(3000+)","taipei-city"
"liy8","新潭記台南虱目魚","台式","4.8","(100+)","taipei-city"
"e9ly","At•First早寓","歐美","4.7","(500+)","taipei-city"
"m7zm","Vast Cali eatery (VCE南加州風格有機餐飲)","歐美","4.9","(100+)","taipei-city"
"q1uw","凱琳焗烤坊","歐美","4.7","(5000+)","taipei-city"
"jynd","果樹媽媽 (誠品松菸店)","健康餐","4.5","(100+)","taipei-city"
"xl72","珍蜜咖啡坊","台式","4.9","(100+)","taipei-city"
"zszy","CAMPUS CAFE (台北南京店)","歐美","4","(36)","taipei-city"
"p9iw","老漿家","台式","4.7","(500+)","taipei-city"
"c90b","忠孝大餛飩","台式","4","(49)","taipei-city"
"szlu","無聊咖啡 Ambi- Cafe","台式","4.8","(28)","taipei-city"
"bx5h","頂呱呱TKK (忠孝旗艦店)","歐美","4.4","(100+)","taipei-city"
"pstj","【小巨蛋門市】RollFive墨式捲餅","歐美","4.5","(100+)","taipei-city"
"hscw","茶霸","台式","4.6","(100+)","taipei-city"
"crwg","陳記外省麵","台式","4.6","(500+)","taipei-city"
"djcq","BB拌","韓式","4.7","(64)","taipei-city"
"v35o","根本在旅行 (台北信義店)","飲料","4.8","(27)","taipei-city"
"ojtp","豆夫人紅豆湯 雪花冰","甜點","4.9","(100+)","taipei-city"
"x1km","瘋茶館","歐美","4.6","(100+)","taipei-city"
"nwzt","養珍堂健康工坊","甜點","5","(100+)","taipei-city"
"kfva","Mr.papa x Ray Cafe","咖啡","4.5","(53)","taipei-city"
"xql8","山西刀削番茄牛肉麵 (南京店)","中式","4.7","(1000+)","taipei-city"
"ou3w","ASK for Cafe | 咖啡 可頌 肉桂捲","歐美","4.7","(100+)","taipei-city"
"a2gi","山本漢堡排","日式","4.8","(1000+)","taipei-city"
"phf9","空腹鐵板吐司 (松山八德店)","台式","4.8","(100+)","taipei-city"
